Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
sardine,5.0,81,8,0.2363013698630137,0.0034246575342465,0.30438982604938325,0.8497391304347827,1.214,0.442,0.27088127453416144,0.8314884910485933,1.0738970588235297,0.7007794117647058,0.2536882193481485,2426.94
motive,1.5,117,28,0.1801470588235294,0.0036764705882352,0.019214059211255127,0.7003063063063063,1.031,0.346,0.025821780888030887,0.7261767403767403,1.004,0.5562636363636364,0.01592477289827903,4318.77
coupon,4.79,99,10,0.1137931034482758,0.0034482758620689,0.22872422703851836,0.7861304347826087,1.127,0.365,0.19467397709209905,0.8128005255613951,1.0937032967032967,0.6797582417582418,0.17911598905985127,2865.39
enclosure,4.04,121,14,0.1083916083916083,0.0034965034965034,0.13341464108543977,0.7372201834862385,1.02,0.351,0.12063752635529608,0.7697200135915732,1.1125740740740742,0.6005,0.10577240072548455,4480.99
warrior,4.17,137,11,0.0865051903114186,0.0034602076124567,0.12571569072421615,0.7011531531531531,0.994,0.371,0.12809257882882882,0.8132319410319409,1.0293545454545454,0.6444454545454547,0.10656111018025993,4390.46
forehead,4.9,109,13,0.0836236933797909,0.0034843205574912,0.21760710117800117,0.689561224489796,1.054,0.3,0.21131781818181825,0.808804965285083,1.0797113402061855,0.6645360824742269,0.17539923695416648,3011.73
blackboard,4.72,65,4,0.2677966101694915,0.0033898305084745,0.33689586399428395,0.8085789473684211,1.0,0.316,0.2843746488203266,0.7862130325814536,0.9990178571428572,0.6712678571428571,0.27390104038961316,5317.21
shaving,4.63,100,13,0.1707317073170731,0.0034843205574912,0.21186673332717085,0.7394130434782609,1.069,0.45,0.18229066643291256,0.8166450071667463,1.041879120879121,0.6846483516483516,0.1608048159745304,5236.67
syndrome,2.48,113,21,0.1541218637992831,0.003584229390681,0.05388168894581887,0.6870652173913043,1.052,0.289,0.07027451075268817,0.7681182513139035,1.0768901098901098,0.6175274725274724,0.04098022506634794,3058.1
passing,2.76,140,12,0.0555555555555555,0.0034722222222222,0.05382079613095237,0.6290819672131148,1.205,0.285,0.07346147274423565,0.7436402926432734,1.144123966942149,0.5520909090909091,0.04897809368688833,1814.49
elegance,2.18,153,9,0.0618556701030927,0.0034364261168384,0.030741932605802224,0.6791489361702128,1.006,0.206,0.04417908320847069,0.7796519756838906,1.0589357142857143,0.6089357142857144,0.01961167064431167,3157.07
oar,4.84,79,30,0.2259259259259259,0.0037037037037037,0.2922629424736505,0.8905714285714286,1.159,0.494,0.24235936056338028,0.8129540372670807,1.0153043478260868,0.6926666666666667,0.23458206755322952,3491.34
innovation,1.97,121,14,0.1448763250883392,0.0035335689045936,0.031789610139281624,0.6316336633663366,1.037,0.237,0.04523084032226752,0.703608712871287,1.1178,0.54692,0.02881555099110852,2815.6
duet,3.78,82,6,0.1666666666666666,0.0034013605442176,0.17161546759767912,0.6450684931506849,1.073,0.265,0.1730307967419474,0.7360692541856926,1.092833333333333,0.5810416666666667,0.13620232025532952,2384.9
diplomat,3.67,153,14,0.0494699646643109,0.0035335689045936,0.08721276579428722,0.7448706896551724,1.097,0.227,0.10575061273209548,0.8050058470764618,1.0430260869565215,0.6561217391304347,0.07875279989369864,2882.99
vicinity,2.37,78,26,0.1586715867158671,0.003690036900369,0.07103836096734335,0.6864776119402987,1.113,0.271,0.07920242142230027,0.7017946630483944,1.0430151515151516,0.5505000000000001,0.05448535075473388,2044.04
dolphin,4.96,104,4,0.0912162162162162,0.0033783783783783,0.23367013328222794,0.771896551724138,1.116,0.253,0.22919360906478586,0.8024768778401498,1.118895348837209,0.6881046511627906,0.20130447113353941,2316.23
burial,3.93,83,4,0.1418918918918918,0.0033783783783783,0.18327169025680096,0.652746835443038,0.989,0.251,0.16315395427215193,0.7820688088283025,0.9849999999999998,0.6660769230769231,0.12811669481936436,4466.9
pillar,4.77,105,16,0.1408450704225352,0.0035211267605633,0.2140487462733706,0.7336463414634147,1.097,0.458,0.21324388568909786,0.7639438730531884,1.067170731707317,0.6166585365853658,0.19855441871872634,4574.54
plea,2.39,79,20,0.2071428571428571,0.0035714285714285,0.07143476847067942,0.7010555555555555,1.233,0.257,0.08459729604261795,0.781355633802817,1.0743802816901409,0.62,0.045308094609438535,2419.6
plumbing,4.24,109,7,0.2081911262798634,0.0034129692832764,0.16326220994247026,0.7809782608695651,1.14,0.444,0.1548505787751286,0.8354706163401815,1.0934285714285716,0.6846263736263736,0.13035795762324281,4766.28
chimney,5.0,73,8,0.1626297577854671,0.0034602076124567,0.3367972851979254,0.724107142857143,1.101,0.322,0.3495175382205513,0.7805629870129869,0.9747272727272728,0.6574,0.3189085566882082,6071.12
mole,4.41,99,16,0.0845070422535211,0.0035211267605633,0.19378814364433866,0.810288888888889,1.076,0.466,0.15443024273504274,0.839196254681648,1.0927191011235955,0.7000898876404494,0.14535141730285597,3652.67
actress,4.54,117,8,0.1061643835616438,0.0034246575342465,0.17422874440002276,0.6690121951219512,1.123,0.142,0.21589310813987656,0.7600165612767238,1.0698024691358023,0.6291481481481481,0.18088483359760876,3821.88
filth,4.14,119,8,0.1575342465753424,0.0034246575342465,0.14261280514682884,0.7783301886792454,1.045,0.44,0.12766683195203665,0.8143504043126685,1.0047714285714286,0.685447619047619,0.10738991275025776,2425.56
mixer,4.33,116,5,0.0993150684931506,0.0034246575342465,0.15981874986069855,0.7815555555555557,1.107,0.353,0.15122280646464648,0.7984034219748506,1.095295918367347,0.6568061224489795,0.13081451984126982,2786.04
icon,3.46,132,19,0.0854092526690391,0.0035587188612099,0.08973580639895806,0.6837142857142856,1.053,0.364,0.09500641006289308,0.7638600732600732,1.086153846153846,0.6068269230769231,0.07651394506155734,3380.1
timetable,4.08,102,12,0.2013888888888889,0.0034722222222222,0.1613249553348998,0.7433578947368421,1.083,0.308,0.13967412357456144,0.7376797312430012,1.0969255319148938,0.5532127659574467,0.12650663198795994,5901.29
