Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
vary,1.93,116,40,0.1538461538461538,0.0038461538461538,0.03187296923530345,0.6959439252336448,1.128,0.218,0.04113488958116995,0.7760922464520595,1.0860654205607476,0.6023925233644861,0.022729052362681433,1691.38
detach,2.9,131,29,0.0679245283018867,0.0037735849056603,0.06346681900572884,0.8749734513274336,1.243,0.36,0.07185543455985094,0.8154946270543616,1.0630357142857143,0.6433839285714286,0.04721921921655831,1144.68
overwhelm,1.42,150,44,0.08984375,0.00390625,0.013306583173806563,0.7894817518248175,1.068,0.285,0.02213514339363165,0.7823416702447403,1.0571544117647058,0.6128823529411764,0.010423975571023023,1435.43
tighten,3.33,125,29,0.0959409594095941,0.003690036900369,0.08772155344436947,0.776271186440678,1.063,0.203,0.07627736775388122,0.7991213964942778,1.0338119658119658,0.6451282051282051,0.05990828468453317,2414.84
rob,3.48,110,12,0.2222222222222222,0.0034722222222222,0.10904482617086783,0.8409999999999999,1.203,0.544,0.10349731119600349,0.8187654320987654,1.096901234567901,0.6720246913580248,0.09280388662128411,2520.93
implode,3.64,133,28,0.1727941176470588,0.0036764705882352,0.0987394446291062,0.8804000000000001,1.192,0.35,0.09340756371814093,0.8042897025171625,1.0357368421052633,0.6776315789473685,0.0749719554988203,2092.32
intoxicate,3.0,104,24,0.1702898550724637,0.0036231884057971,0.08564556833105987,1.0597840909090908,1.429,0.405,0.06891385929519918,0.8370099268547545,1.0825632183908045,0.6996206896551724,0.05869710250327562,2667.51
dunk,4.52,90,24,0.1666666666666666,0.0036231884057971,0.2238753255682681,0.8156842105263158,1.06,0.406,0.1992177983595352,0.8054417543859649,1.0970933333333333,0.6788666666666666,0.1875017622144452,3507.6
originate,2.23,101,36,0.1287878787878787,0.0037878787878787,0.048669994726745394,0.8290121951219513,1.047,0.639,0.032562585659712026,0.7478434206564288,1.1703456790123457,0.5795432098765432,0.04284333101583399,1730.99
misunderstand,1.85,146,36,0.0568181818181818,0.0037878787878787,0.02317712268310472,0.8420573770491804,1.18,0.243,0.04333922284419567,0.7814361197669693,1.096495867768595,0.6050165289256197,0.018318868716302384,1450.62
accelerate,3.48,86,9,0.1993127147766323,0.0034364261168384,0.13906971284193148,0.7071216216216216,1.177,0.309,0.1397452209009009,0.7345790447982229,1.076,0.5740136986301371,0.11200251544258089,3310.68
