Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
easy,2.07,111,17,0.1413427561837456,0.0035335689045936,0.03830747249112887,0.5567525773195876,1.266,0.19,0.0720480341889333,0.7425270618556701,1.18375,0.5572395833333333,0.03372949973148354,2295.07
sudden,2.07,97,28,0.1029411764705882,0.0036764705882352,0.043565677495983224,0.5959310344827585,1.161,0.213,0.05173573667711599,0.7480630847367014,1.181674418604651,0.6118720930232557,0.03080266740812198,1431.79
awful,1.92,125,7,0.1501706484641638,0.0034129692832764,0.029378780453757216,0.5593274336283185,1.032,0.078,0.057907930135072186,0.7345538874841973,1.0135089285714287,0.5621607142857142,0.021842627102779864,3967.79
new,2.81,126,18,0.1205673758865248,0.0035460992907801,0.06202698348826311,0.598470588235294,1.213,0.259,0.08293247731092437,0.7390068366329583,1.0566186440677965,0.5570084745762712,0.0457451745033463,2770.27
common,2.07,140,7,0.0580204778156996,0.0034129692832764,0.030260020739508408,0.6202461538461539,1.269,0.251,0.05424013975337638,0.7674246623605403,1.1060692307692306,0.5816846153846154,0.025402196475779067,2754.99
certain,1.68,102,13,0.2229965156794425,0.0034843205574912,0.02764693114523667,0.5262247191011237,1.24,0.164,0.06514871710362047,0.6790941323345817,1.1179101123595503,0.4884719101123597,0.02938318938766349,2980.27
busy,2.41,142,8,0.1164383561643835,0.0034246575342465,0.040535787724601,0.6426386554621848,1.018,0.288,0.04871310812324931,0.7324711484593837,1.0000084033613446,0.5572773109243697,0.033062049946969554,2305.96
ready,2.07,98,11,0.1660899653979238,0.0034602076124567,0.04342752969317426,0.4863766233766234,0.794,0.196,0.0556055193140193,0.6205381285381285,0.9587532467532468,0.4524285714285714,0.04058391387997175,2641.79
private,2.72,133,7,0.1092150170648464,0.0034129692832764,0.055058770739345946,0.6296666666666667,1.34,0.192,0.07242194734173549,0.7464115601912212,1.1949145299145305,0.5794358974358974,0.04381206797808885,1969.57
poor,2.7,146,14,0.1013986013986013,0.0034965034965034,0.04944687315385113,0.6311311475409837,1.177,0.305,0.07001850579768093,0.8004346294540036,1.0711570247933884,0.6568429752066116,0.03672270645321546,2110.23
small,3.22,89,11,0.1868512110726643,0.0034602076124567,0.11502694717952103,0.6215822784810127,1.225,0.067,0.12762173022151901,0.780361570918533,1.0650897435897433,0.5887948717948718,0.08308345649972121,2852.4
special,1.76,146,17,0.0954063604240282,0.0035335689045936,0.02099859469102714,0.6036507936507937,1.112,0.355,0.03655509073865767,0.6913650793650794,1.020136,0.5141279999999999,0.01808519844840994,2383.82
major,2.16,108,7,0.1399317406143344,0.0034129692832764,0.04273884215237031,0.5551818181818182,1.167,0.219,0.0684961470888662,0.7242084639498434,1.1499655172413794,0.556183908045977,0.03554308529391364,3207.96
important,2.14,170,26,0.0437956204379562,0.0036496350364963,0.02667142641265818,0.5393375,1.351,0.187,0.06832114013975156,0.7083566037735849,1.2031698113207547,0.5304150943396228,0.031085725639731776,1796.84
final,2.67,84,5,0.1678082191780822,0.0034246575342465,0.08384236812683414,0.5563466666666667,1.18,0.203,0.09467264140350877,0.6978911711711712,1.109554054054054,0.5364054054054055,0.06439753902630937,1956.22
great,1.81,115,10,0.1034482758620689,0.0034482758620689,0.028202588791811,0.529563829787234,1.093,0.241,0.05118204076147816,0.7039691146190804,0.9764086021505376,0.5232150537634408,0.023829173327729696,4181.12
serious,2.1,159,21,0.03584229390681,0.003584229390681,0.02743234979621821,0.6229214285714286,1.051,0.256,0.051626969706180345,0.7576884892086332,1.0791798561151078,0.6063093525179856,0.019063420140146004,2267.17
bad,1.68,129,4,0.1554054054054054,0.0033783783783783,0.02176381024499818,0.5805666666666667,1.178,0.207,0.04389851184573002,0.7602226890756302,1.0480840336134454,0.6109075630252099,0.014667142636072416,3097.66
normal,1.4,134,13,0.0905923344947735,0.0034843205574912,0.014520191476663474,0.6213170731707318,1.039,0.316,0.03675147836349331,0.7531836598693855,0.9719836065573773,0.5670573770491804,0.013869896593574802,3124.18
hot,4.31,127,1,0.1148648648648648,0.0033783783783783,0.14474896786100983,0.6268888888888889,1.091,0.275,0.14431826307402576,0.8112385794282346,1.044189655172414,0.6637068965517242,0.10980603998459716,2348.72
various,2.35,87,12,0.1649122807017544,0.0035087719298245,0.06264188344022258,0.5777594936708861,1.239,0.143,0.08677894161392405,0.7043777994157742,1.1233205128205128,0.5277564102564103,0.04793966571750764,2496.93
terrible,2.04,110,9,0.1615120274914089,0.0034364261168384,0.03768250126859969,0.5266770833333333,1.118,0.081,0.055163494630584196,0.7091497807017544,1.0375052631578947,0.5456736842105263,0.026039349402552092,3812.94
appropriate,2.0,115,21,0.1146953405017921,0.003584229390681,0.03441056960246897,0.575940594059406,1.187,0.209,0.061720742768394496,0.7314265346534654,1.07387,0.5497899999999999,0.028004419577518928,2694.4
